,Name,Year,Tv Certificate,Duration per episode,Genre,Ratings,Actor/Actress,Votes
560,Millennium,I) (1996–1999,TV-14 , 45 min ," Crime, Drama, Horror",8.0," Lance Henriksen, Megan Gallagher, Terry O'Quinn, Brittany Tiplady"," 11,359"
561,Dogs of Berlin,2018– ,TV-MA , 542 min ," Action, Crime, Drama",7.5," Felix Kramer, Fahri Yardim, Katharina Schüttler, Anna Maria Mühe"," 12,996"
562,Umbre,2014–2019,TV-MA , 45 min ," Crime, Drama, Thriller",8.8," Serban Pavlu, Maria Obretin, Andreea Vasile, Madalina Craiu"," 10,377"
563,Unsolved Mysteries,1987–2010,TV-PG , 60 min ," Documentary, Crime, Drama",8.2," Robert Stack, Dennis Farina, Keely Shaye Brosnan, William Roll"," 6,044"
564,The Third Day,2020,TV-MA , 340 min ," Drama, Horror, Mystery",6.4," Jude Law, John Dagleish, Mark Lewis Jones, Paddy Considine"," 10,192"
565,Clarice,2021,TV-14 , 60 min ," Crime, Drama, Mystery",6.6," Rebecca Breeds, Michael Cudlitz, Jayne Atkinson, Lucca De Oliveira"," 10,285"
566,Troppo,2022– ,TV-14 , 60 min ," Crime, Thriller",7.3," Thomas Jane, Nicole Chamoun, David Lyons, Sun Park"," 1,772"
567,"Belascoarán, PI",2022– ,TV-MA , 75 min ," Crime, Mystery, Thriller",7.4," Luis Gerardo Méndez, Paulina Gaitan, Silverio Palacios, Irene Azuela", 885
568,Power Rangers Ninja Steel,2017–2018,TV-Y7 , 21 min ," Action, Adventure, Drama",5.9," William Shewfelt, Nico Greetham, Zoë Robins, Peter Adrian Sudarso", 959
569,Close Enough,2020–2022,TV-14 , 23 min ," Animation, Action, Adventure",7.8," J.G. Quintel, Gabrielle Walsh, Jason Mantzoukas, Kimiko Glenn"," 11,714"
570,Glitch,2022– ,TV-MA , 60 min ," Comedy, Mystery, Sci-Fi",6.1," Jeon Yeo-bin, Jin-Ah Im, Keisuke Hoashi, Cecilia Kim", 674
571,CSI: Cyber,2015–2016,TV-14 , 44 min ," Crime, Drama, Mystery",5.4," Patricia Arquette, James Van Der Beek, Shad Moss, Charley Koontz"," 11,120"
572,Sue Thomas: F.B.Eye,2002–2005,TV-PG , 60 min ," Crime, Drama, Mystery",7.3," Deanne Bray, Yannick Bisson, Rick Peters, Marc Gomes"," 2,366"
573,Paranormal,2020,TV-14 , 45 min ," Drama, Fantasy, Horror",8.0," Razane Jammal, Philip Shahbaz, Karla Maatouk, Ahmed Amin"," 72,487"
574,I Know What You Did Last Summer,2021,TV-14 , 45 min ," Drama, Horror, Mystery",5.3," Madison Iseman, Brianne Tju, Bill Heck, Ezekiel Goodman"," 7,967"
575,ReBoot,1994–2001,TV-Y7 , 30 min ," Animation, Action, Adventure",7.9," Michael Donovan, Kathleen Barr, Garry Chalk, Shirley Milliner"," 5,520"
576,Before We Die,2021– ,TV-MA , 60 min ," Crime, Thriller",6.3," Lesley Sharp, Vincent Regan, Issy Knopfler, Kazia Pelka"," 1,460"
577,Cagney & Lacey,1981–1988,TV-PG , 60 min ," Crime, Drama, Mystery",6.8," Tyne Daly, Sharon Gless, Al Waxman, Martin Kove"," 4,471"
578,Alarm für Cobra 11 - Die Autobahnpolizei,1996– ,,90 min ," Action, Adventure, Crime",6.3," Erdogan Atalay, Gottfried Vollmer, Niels Kurvin, Dietmar Huhn"," 5,487"
579,Biohackers,2020–2021,TV-MA , 44 min ," Drama, Sci-Fi, Thriller",6.8," Luna Wedler, Jessica Schwarz, Thomas Prenn, Adrian Julius Tillmann"," 10,036"
580,Shades of Blue,2016–2018,TV-14 , 60 min ," Action, Crime, Drama",7.0," Jennifer Lopez, Ray Liotta, Drea de Matteo, Dayo Okeniyi"," 10,641"
581,The Mess You Leave Behind,2020,TV-MA , 56 min ," Crime, Drama, Mystery",6.8," Inma Cuesta, Bárbara Lennie, Tamar Novas, Arón Piper"," 9,397"
582,Chance,2016–2017,TV-MA , 60 min ," Drama, Mystery, Thriller",7.6," Hugh Laurie, Ethan Suplee, Greta Lee, Stefania LaVie Owen"," 10,290"
583,Hold Tight,2022,TV-MA , 284 min ," Crime, Drama, Mystery",6.1," Magdalena Boczarska, Leszek Lichota, Grzegorz Damiecki, Bill Rogers"," 2,891"
584,Feria: The Darkest Light,2022,TV-MA , 50 min ," Crime, Drama, Fantasy",5.7," Carla Campra, Ana Tomeno, Isak Férriz, Marta Nieto"," 2,488"
585,Special Ops 1.5: The Himmat Story,2021– ,,,"Action, Crime, Drama",8.3," Kay Kay Menon, Vinay Pathak, Aftab Shivdasani, Aadil Khan"," 15,603"
586,Dare Me,2019–2020,TV-MA , 42 min ," Crime, Mystery, Thriller",6.6," Willa Fitzgerald, Herizen F. Guardiola, Marlo Kelly, Rob Heaps"," 5,574"
587,Die Hart,2020– ,TV-MA , 78 min ," Action, Comedy, Thriller",6.3," Nathalie Emmanuel, Kevin Hart, John Travolta, Jean Reno"," 1,881"
588,W,2016,,60 min ," Action, Comedy, Drama",8.1," Lee Jong-Suk, Han Hyo-joo, Jeong Eu-Gene, Lee Tae-Hwan"," 10,955"
589,Riptide,1984–1986,TV-14 , 60 min ," Action, Crime, Drama",6.8," Perry King, Joe Penny, Thom Bray, Jack Ging"," 2,934"
590,Behzat Ç.: Bir Ankara Polisiyesi,2010–2019,TV-14 , 90 min ," Crime, Drama, Mystery",8.8," Erdal Besikçioglu, Inanç Konukçu, Ege Aydan, Berkan Sal"," 30,215"
591,Femme Fatales,2011–2012,TV-MA , 30 min ," Crime, Drama, Mystery",5.9," Tanit Phoenix, Catherine Annette, Ellie Cornell, Christine Donlon"," 1,605"
592,Are You Afraid of the Dark?,2019–2022,TV-PG , 44 min ," Adventure, Drama, Fantasy",7.1," Bryce Gheisar, Malia Baker, Beatrice Kitsos, Arjun Athalye"," 2,440"
593,Beastars,2019– ,TV-MA , 23 min ," Animation, Crime, Drama",7.7," Chikahiro Kobayashi, Jonah Scott, Lara Jill Miller, Griffin Puatu"," 10,379"
594,Ringer,2011–2012,TV-14 , 44 min ," Crime, Drama, Mystery",6.9," Sarah Michelle Gellar, Kristoffer Polaha, Ioan Gruffudd, Nestor Carbonell"," 20,814"
595,Keeping Faith,2017–2021,Not Rated , 60 min ," Drama, Mystery, Thriller",7.1," Eve Myles, Bradley Freegard, Mark Lewis Jones, Hannah Daniel"," 5,349"
596,Paradise City,2021– ,TV-MA ,," Drama, Fantasy, Music",6.4," Andy Biersack, Drea de Matteo, Booboo Stewart, Bella Thorne"," 2,074"
597,Ashes to Ashes,2008–2010,TV-MA , 60 min ," Crime, Drama, Fantasy",8.2," Philip Glenister, Keeley Hawes, Dean Andrews, Marshall Lancaster"," 10,376"
598,"Eerie, Indiana",1991–1992,TV-Y7 , 30 min ," Adventure, Comedy, Drama",8.2," Omri Katz, Justin Shenkarow, Mary-Margaret Humes, Francis Guinan"," 5,831"
599,Aquarius,2015–2016,TV-14 , 42 min ," Biography, Crime, Drama",7.0," David Duchovny, Grey Damon, Gethin Anthony, Emma Dumont"," 12,493"
600,The Twilight Zone,1985–1989,TV-PG , 45 min ," Drama, Fantasy, Horror",7.7," Robin Ward, Charles Aidman, Richard Mulligan, William Atherton"," 11,458"
601,Kakegurui,2017–2019,TV-14 , 24 min ," Animation, Drama, Mystery",7.2," Saori Hayami, Tatsuya Tokutake, Miyuki Sawashiro, Minami Tanaka"," 10,036"
602,Room 104,2017–2020,TV-MA , 30 min ," Comedy, Drama, Fantasy",6.1," Jennifer Lafleur, Jon Bass, Jenny Leonhardt, Kristina Harrison"," 5,837"
603,Taxi Driver,2021– ,,70 min ," Action, Crime, Drama",8.0," Lee Jehoon, Esom, Kim Eui-sung, Pyo Ye-Jin"," 3,042"
604,Clique,2017–2018,TV-MA , 43 min ," Drama, Thriller",6.9," Rachel Hurd-Wood, Synnove Karlsen, Sophia Brown, David Monteath"," 3,112"
605,Santo,2022– ,TV-MA , 45 min ," Action, Crime, Drama",5.0," Raúl Arévalo, Bruno Gagliasso, Victoria Guerra, Greta Fernández", 783
606,The Invaders,1967–1968,TV-PG , 51 min ," Drama, Sci-Fi, Thriller",8.0," Roy Thinnes, Kent Smith, Max Kleven, William Windom"," 3,081"
607,Reaper,2007–2009,TV-14 , 45 min ," Adventure, Comedy, Drama",7.8," Bret Harrison, Tyler Labine, Rick Gonzalez, Missy Peregrym"," 24,432"
608,Beyond Evil,2021,,70 min ," Drama, Mystery, Thriller",8.1," Shin Ha-kyun, Yeo Jin-gu, Choi Dae-hoon, Choi Sung-eun"," 3,525"
609,The Rising,2022– ,,50 min ," Crime, Thriller",6.5," Clara Rugaard, Matthew McNulty, Emily Taaffe, Nicholas Gleaves"," 1,850"
610,24: Legacy,2016–2017,TV-14 , 41 min ," Action, Crime, Drama",6.3," Corey Hawkins, Miranda Otto, Anna Diop, Teddy Sears"," 11,142"
611,Ridley Road,2021,Not Rated , 229 min ," Drama, Thriller",6.8," Agnes O'Casey, Rory Kinnear, Henry Wilton-Hunt, Eddie Marsan"," 2,539"
612,Black Sun,2017– ,TV-MA , 60 min ," Crime, Drama, Thriller",8.9," Andrija Kuzmanovic, Marija Bergam, Dragan Bjelogrlic, Jovana Stojiljkovic"," 11,561"
613,Nightflyers,2018,TV-14 , 60 min ," Drama, Horror, Mystery",5.8," Eoin Macken, David Ajala, Jodie Turner-Smith, Angus Sampson"," 13,454"
614,Flus,2022– ,,29 min ," Crime, Drama, Thriller",7.4," Filip Bargee Ramberg, Tobias Haile Furunes, Herman Flesvig, Hassan Javed", 111
615,Power Rangers Lost Galaxy,1999–2000,TV-Y7 , 30 min ," Action, Adventure, Family",6.8," Archie Kao, Reggie Rolle, Danny Slavin, Cerina Vincent"," 2,441"
616,The 7 Lives of Lea,2022– ,TV-MA , 45 min ," Crime, Drama, Fantasy",7.5," Raïka Hazanavicius, Khalil Ben Gharbia, Marguerite Thiam, Maïra Schmitt"," 3,711"
617,Reprisal,2019,TV-MA , 51 min ," Action, Crime, Drama",7.4," Abigail Spencer, Rodrigo Santoro, Mena Massoud, Madison Davenport"," 4,514"
618,Bored to Death,2009–2011,TV-MA , 28 min ," Comedy, Crime, Drama",7.9," Jason Schwartzman, Zach Galifianakis, Ted Danson, Heather Burns"," 33,606"
619,Tatli Küçük Yalancilar,2015,,120 min ," Drama, Mystery, Thriller",6.0," Sükrü Özyildiz, Büsra Develi, Alperen Duymaz, Burak Deniz", 741
620,Lucky Man,2016–2018,TV-14 , 60 min ," Action, Crime, Drama",7.1," James Nesbitt, Sienna Guillory, Darren Boyd, Amara Karan"," 6,034"
621,Suzhal - The Vortex,2022– ,,46 min ," Crime, Drama, Thriller",8.2," Kathir, Aishwarya Rajesh, Shreya Reddy, Parthiban Radhakrishnan"," 7,725"
622,Perfume,2018,TV-MA , 45 min ," Drama, Thriller",7.0," Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski"," 9,195"
623,Screw,2022– ,TV-MA , 46 min ," Crime, Drama, Thriller",6.8," Nina Sosanya, Jamie-Lee O'Donnell, Laura Checkley, Faraz Ayub"," 1,813"
624,Shadow Detective,2022– ,,,"Drama, Thriller",6.9," Lee Sung-min, Jin Goo, Hak-joo Lee, Kim Hong-pa", 123
625,Infinity Train,I) (2019–2021,TV-PG , 11 min ," Animation, Action, Adventure",8.4," Ashley Johnson, Owen Dennis, Jeremy Crutchley, Kirby Howell-Baptiste"," 7,892"
626,Black,2017,TV-MA , 50 min ," Crime, Drama, Fantasy",7.9," Song Seung-heon, Go Ara, Lee El, Jo Jae-yoon"," 4,104"
627,Ragdoll,2021– ,,280 min ," Crime, Drama, Thriller",5.8," Lucy Hale, Henry Lloyd-Hughes, Thalissa Teixeira, Michael Smiley"," 1,932"
628,Wolf Creek,2016–2017,TV-MA , 45 min ," Adventure, Drama, Horror",7.1," John Jarratt, Lucy Fry, Dustin Clare, Tess Haubrich"," 5,201"
629,1983,2018,TV-MA , 448 min ," Crime, Drama, Thriller",6.8," Robert Wieckiewicz, Maciej Musial, Michalina Olszanska, Andrzej Chyra"," 4,285"
630,Black Earth Rising,2018,TV-MA , 60 min , Thriller,7.4," John Goodman, Michaela Coel, Noma Dumezweni, Lucian Msamati"," 5,074"
631,Flashforward,2009–2010,TV-14 , 42 min ," Drama, Mystery, Sci-Fi",7.6," Courtney B. Vance, Joseph Fiennes, Jack Davenport, Zachary Knighton"," 61,069"
632,Pretty Little Liars: The Perfectionists,2019,TV-14 , 45 min ," Crime, Drama, Mystery",6.9," Sasha Pieterse, Janel Parrish, Sofia Carson, Sydney Park"," 5,850"
633,The Birch,2019– ,,15 min ," Drama, Fantasy, Horror",6.6," Xaria Dotson, Brady Romberg, Dempsey Bryk, Quincy Dunn-Baker", 589
634,The Future Diary,2011–2013,TV-MA , 25 min ," Animation, Action, Drama",7.5," Brina Palencia, Josh Grelle, Leah Clark, Emily Neves"," 17,802"
635,Viola,2022– ,,50 min ," Action, Comedy, Crime",7.3," Francesca Chillemi, Can Yaman, Nathalie Rapti Gomez, Tommaso Basili"," 1,053"
636,Kitz,2021– ,TV-MA , 45 min ," Drama, Mystery, Thriller",5.7," Valerie Huber, Sofie Eifertinger, Felix Mayr, Bless Amada"," 2,552"
637,Eyewitness,2016,TV-14 , 42 min ," Crime, Mystery, Romance",7.5," Julianne Nicholson, Tyler Young, James Paxton, Gil Bellows"," 5,368"
638,Kamen Rider Black Sun,2022– ,TV-MA , 86 min ," Action, Adventure, Drama",7.5," Hidetoshi Nishijima, Tomoya Nakamura, Gaku Hamada, Kokoro Hirasawa", 487
639,The Secret World of Alex Mack,1994–1998,TV-Y7 , 30 min ," Comedy, Drama, Family",7.5," Larisa Oleynik, Meredith Bishop, Darris Love, Michael Blakley"," 5,300"
640,RoboCop,1994,TV-14 , 90 min ," Action, Adventure, Crime",5.5," Richard Eden, Yvette Nipar, Blu Mankuma, Andrea Roth"," 2,566"
641,Yakamoz S-245,2022,TV-MA , 45 min ," Action, Adventure, Drama",6.1," Kivanç Tatlitug, Jerry Hoffmann, Ecem Uzun, Özge Özpirinçci"," 6,707"
642,Fate/Zero,2011–2012,TV-MA , 24 min ," Animation, Action, Adventure",8.2," Ayako Kawasumi, Kari Wahlgren, Sayaka Ôhara, Jôji Nakata"," 13,319"
643,Tru Calling,2003–2005,TV-14 , 43 min ," Drama, Fantasy, Mystery",7.4," Eliza Dushku, Shawn Reaves, Zach Galifianakis, A.J. Cook"," 16,708"
644,Day of the Dead,2021– ,TV-MA , 43 min ," Action, Drama, Horror",4.7," Keenan Tracey, Daniel Doheny, Natalie Malaika, Miranda Frigon"," 2,142"
645,Power Rangers Beast Morphers,2019–2020,TV-Y7 , 21 min ," Action, Adventure, Comedy",6.7," Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez", 639
646,Blood Drive,2017,TV-MA , 60 min ," Action, Adventure, Comedy",7.2," Alan Ritchson, Christina Ochoa, Thomas Dominique, Marama Corlett"," 6,363"
647,Quarry,2016,TV-MA , 60 min ," Crime, Drama, Thriller",8.0," Logan Marshall-Green, Jodi Balfour, Damon Herriman, Edoardo Ballerini"," 13,390"
648,Amazing Stories,1985–1987,PG , 30 min ," Adventure, Comedy, Drama",7.4," Charles Durning, Douglas Seale, Louis Giambalvo, Sharon Spelman"," 5,951"
649,T@gged,2016–2018,TV-14 , 18 min , Thriller,7.1," Lulu Antariksa, Katelyn Nacon, Nick Fink, Timothy Granaderos"," 2,185"
650,Vale dos Esquecidos,2022– ,,50 min ," Drama, Mystery, Thriller",6.7," Caroline Abras, Julia Ianina, Carolina Manica, Daniel Rocha", 100
651,The Walking Dead: Webisodes,2011–2018,TV-MA , 15 min ," Short, Drama, Horror",7.7," Anais Lilit, Rick Otto, Jose Rosete, Lilli Birdsell"," 4,911"
652,The Penthouse: War in Life,2020–2021,,70 min ," Crime, Drama, Mystery",7.9," Kim So-yeon, Eun-Kyung Shin, Uhm Ki-joon, Tae-gyu Bong"," 2,952"
653,Above Suspicion,2009–2012,,46 min ," Crime, Drama, Thriller",7.1," Kelly Reilly, Ciarán Hinds, Shaun Dingwall, Amanda Lawrence"," 2,797"
654,Suspicious Partner,2017,TV-14 , 30 min ," Comedy, Crime, Drama",7.8," Ji Chang-Wook, Nam Ji-hyun, Choi Tae-Joon, Nara"," 5,326"
655,Digimon: Digital Monsters,1999–2007,TV-Y7 , 24 min ," Animation, Action, Adventure",7.3," Steve Blum, Mona Marshall, Tifanie Christun, Derek Stephen Prince"," 22,350"
656,Beyond Belief: Fact or Fiction,1997–2022,TV-PG , 60 min ," Mystery, Thriller, Fantasy",7.9," Jonathan Frakes, Don LaFontaine, James Brolin, Sydney Walsh"," 4,899"
657,Sky Rojo,2021–2023,TV-MA , 31 min ," Action, Adventure, Crime",6.5," Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito"," 8,955"
658,"Good Morning, Verônica",2020– ,TV-MA , 49 min ," Crime, Drama, Mystery",7.5," Tainá Müller, Silvio Guindane, Elisa Volpatto, Adriano Garib"," 4,701"
659,The Golden Hour,2022– ,,58 min ," Crime, Drama, Thriller",7.9," Nasrdin Dchar, Ellen Parren, Nabil Mallat, Abbas Fasaei", 457
660,Space: Above and Beyond,1995–1996,,60 min ," Action, Adventure, Drama",7.8," Morgan Weisser, Kristen Cloke, Rodney Rowland, Joel de la Fuente"," 8,230"
661,Deception,2018,TV-PG , 41 min ," Crime, Drama, Mystery",7.4," Jack Cutmore-Scott, Ilfenesh Hadera, Lenora Crichlow, Justin Chon"," 9,415"
662,Five Days,2007–2010,TV-MA , 300 min ," Crime, Drama, Mystery",6.6," Suranne Jones, Lee Massey, David Oyelowo, Michelle Bonnard"," 2,864"
663,Exception,2022– ,TV-MA , 30 min ," Animation, Drama, Horror",6.6," Nolan North, Ali Hillis, Robbie Daymond, Eugene Byrd", 651
664,Creeped Out,2017–2019,TV-Y7 , 30 min ," Action, Adventure, Crime",6.6," Victoria Diamond, William Romain, Jaiden Cannatelli, Lukas Engel"," 1,997"
665,Bad Banks,2018–2020,TV-14 , 52 min ," Crime, Drama, Thriller",7.8," Paula Beer, Barry Atsma, Désirée Nosbusch, Albrecht Schuch"," 5,791"
666,Motive,2013–2016,TV-14 , 60 min ," Crime, Drama, Mystery",7.4," Kristin Lehman, Louis Ferreira, Brendan Penny, Lauren Holly"," 5,623"
667,Unsolved: The Murders of Tupac and the Notorious B.I.G.,2018– ,TV-MA , 60 min ," Biography, Crime, Drama",7.8," Josh Duhamel, Bokeem Woodbine, Wavyy Jonez, Marcc Rose"," 8,162"
668,Bedrag,2016–2019,TV-MA , 60 min ," Crime, Drama, Thriller",7.6," Esben Smed, Thomas Hwan, Thomas Bo Larsen, Natalie Madueño"," 4,452"
669,Wallander,2005–2013,TV-14 , 90 min ," Crime, Drama, Mystery",7.6," Krister Henriksson, Fredrik Gunnarsson, Mats Bergman, Douglas Johansson"," 5,844 | Gross"
670,Ergo Proxy,2006,TV-14 , 25 min ," Animation, Action, Adventure",7.9," Kôji Yusa, Akiko Yajima, Liam O'Brien, Rachel Hirschfeld"," 14,584"
671,Red Light,I) (2020–2021,TV-MA , 50 min ," Crime, Drama, Thriller",7.1," Carice van Houten, Maaike Neuville, Halina Reijn, Geert Van Rampelberg"," 1,539"
672,The Fear Index,2022,,45 min ," Drama, Thriller",5.8," Josh Hartnett, Arsher Ali, Leila Farzad, Grégory Montel"," 1,436"
673,Whiskey Cavalier,2019,TV-14 ,," Action, Adventure, Comedy",7.1," Scott Foley, Lauren Cohan, Ana Ortiz, Tyler James Williams"," 9,877"
674,I Am the Night,2019,TV-MA , 60 min ," Crime, Drama, Mystery",6.9," Chris Pine, India Eisley, Jefferson Mays, Leland Orser"," 8,116"
675,Criminal Justice,2019– ,,50 min ," Crime, Drama, Mystery",8.1," Vikrant Massey, Pankaj Tripathi, Rucha Inamdar, Jagat Rawat"," 17,204"
676,Dude,2021– ,,32 min ," Drama, Mystery, Thriller",8.6," Ambrish Verma, Arun Kushwah, Apoorva Arora, Rakesh Bedi"," 3,738"
677,Healer,2014–2015,TV-14 , 60 min ," Action, Comedy, Crime",8.5," Ji Chang-Wook, Park Min-Young, Tae-Mi, Yoo Ji-tae"," 8,787"
678,Rurouni Kenshin,1996–1998,TV-14 , 24 min ," Animation, Action, Adventure",8.5," Mayo Suzukaze, Dorothy Elias-Fahn, Richard Cansino, Rebecca Forstadt"," 19,511"
679,Rules of the Game,2022,,57 min , Thriller,6.2," Maxine Peake, Susan Wokoma, Rakhee Thakrar, Ben Batt"," 1,831"
680,Ethos,2020,TV-MA , 50 min ," Drama, Thriller",8.5," Öykü Karayel, Fatih Artman, Funda Eryigit, Defne Kayalar"," 27,336"
681,El marginal,2016–2022,TV-MA , 60 min ," Crime, Drama, Mystery",8.2," Nicolás Furtado, Claudio Rissi, Gerardo Romano, Martina Gusman"," 4,188"
682,Valley of the Wolves: Ambush,2007–2016,,120 min ," Action, Crime, Drama",6.1," Necati Sasmaz, Erhan Ufak, Cahit Kayaoglu, Adnan Erdogan"," 8,542"
683,No Man's Land,2020– ,PG-13 , 45 min ," Drama, Thriller, War",7.8," Félix Moati, Mélanie Thierry, Souheila Yacoub, James Krishna Floyd"," 3,244"
684,Içerde,2016–2017,TV-14 , 60 min ," Action, Crime, Drama",8.1," Çagatay Ulusoy, Aras Bulut Iynemli, Çetin Tekindor, Nihal G. Koldas"," 18,638"
685,Run,I) (2020,TV-MA , 30 min ," Comedy, Romance, Thriller",6.2," Merritt Wever, Domhnall Gleeson, Rich Sommer, Archie Panjabi"," 7,567"
686,Rush Hour,2016,TV-14 , 43 min ," Action, Comedy, Crime",5.6," Justin Hires, Jonathan Patrick Foo, Aimee Garcia, Page Kennedy"," 3,783"
687,Jägarna,2018– ,Not Rated , 44 min ," Crime, Drama, Thriller",7.4," Rolf Lassgård, Johan Marenius Nordahl, Annika Nordin, Caroline Johansson Kuhmunen"," 2,071"
688,Harper's Island,2009,TV-14 , 40 min ," Drama, Horror, Mystery",7.4," Elaine Cassidy, Christopher Gorham, Matt Barr, Gina Holden"," 26,662"
689,The Control Room,2022,,60 min ," Crime, Drama, Thriller",5.6," Iain De Caestecker, Daniel Portman, Jatinder Singh Randhawa, Rona Morison"," 1,229"
690,American Gothic,1995–1998,TV-PG , 60 min ," Drama, Horror, Thriller",8.1," Gary Cole, Lucas Black, Paige Turco, Brenda Bakke"," 4,602"
691,Signal,2016,,80 min ," Crime, Drama, Fantasy",8.5," Lee Jehoon, Kim Hye-su, Cho Jin-woong, Kim Won-Hae"," 7,300"
692,The Hitchhiker,1983–1991,TV-MA , 26 min ," Drama, Horror, Mystery",6.8," Page Fletcher, Nicholas Campbell, Vincent Grass, Kirstie Alley"," 1,674"
693,Forhøret,2019–2022,TV-MA , 30 min ," Crime, Drama, Mystery",6.8," Trine Dyrholm, Alma Ekehed Thomsen, Ulrich Thomsen, Søren Malling"," 1,953"
694,Yeh Kaali Kaali Ankhein,2022– ,TV-MA , 51 min ," Comedy, Crime, Mystery",7.0," Tahir Raj Bhasin, Shweta Tripathi, Anchal Singh, Saurabh Shukla"," 7,757"
695,The Ray Bradbury Theater,1985–1992,TV-14 , 23 min ," Drama, Fantasy, Horror",7.4," Ray Bradbury, Frank Whitten, Desmond Kelly, Wayne Robson"," 1,517"
696,The Light in the Hall,2022– ,TV-MA , 48 min ," Drama, Thriller",7.2," Iwan Rheon, Joanna Scanlan, Alexandra Roach, Annes Elwy", 212
697,Baki the Grappler,2001–2007,TV-PG , 24 min ," Animation, Action, Drama",7.5," Bob Carter, Masami Kikuchi, Robert McCollum, Naomi Kusumi"," 1,691"
698,Alphas,2011–2012,TV-14 , 44 min ," Action, Drama, Sci-Fi",7.2," David Strathairn, Ryan Cartwright, Warren Christie, Azita Ghanizada"," 29,193"
699,Wrecked,2016–2018,TV-MA , 30 min ," Action, Adventure, Comedy",7.3," Zach Cregger, Asif Ali, Brian Sacca, Ally Maki"," 7,567"
700,Försvunna människor,2022– ,,59 min ," Crime, Drama, Thriller",7.0," Peter Viitanen, Ville Virtanen, Sandra Stojiljkovic, Vilhelm Blomgren", 149
701,Breakout Kings,2011–2012,TV-14 , 43 min ," Crime, Drama, Thriller",7.2," Domenick Lombardozzi, Brooke Nevin, Malcolm Goodwin, Jimmi Simpson"," 15,784"
702,Hap and Leonard,2016–2018,TV-MA , 60 min ," Crime, Drama, Mystery",7.6," James Purefoy, Michael Kenneth Williams, Tiffany Mack, Cranston Johnson"," 7,877"
703,Spenser: For Hire,1985–1988,,60 min ," Crime, Drama, Mystery",7.3," Robert Urich, Avery Brooks, Ron McLarty, Richard Jaeckel"," 2,904"
704,Mortal Kombat: Legacy,2011–2013,TV-MA , 10 min ," Short, Action, Adventure",7.3," Casper Van Dien, Ian Anthony Dale, Samantha Win, Kim Do Nguyen"," 9,885"
705,Those Who Read the Hearts of Evil,2022– ,,70 min ," Crime, Drama, Mystery",8.0," Nam-gil Kim, Jin Seon-kyu, So-jin Kim, Ryeoun", 723
706,Ghosted,I) (2017,TV-PG , 30 min ," Comedy, Crime, Horror",6.3," Adam Scott, Craig Robinson, Ally Walker, Adeel Akhtar"," 6,953"
707,Naked City,1958–1963,TV-14 , 60 min ," Crime, Drama, Thriller",8.2," Harry Bellaver, Horace McMahon, Paul Burke, Nancy Malone"," 1,268"
708,Glória,2021– ,TV-MA , 40 min ," Drama, History, Thriller",7.9," Miguel Nunes, Matt Rippy, Stephanie Vogt, Carolina Amaral"," 4,386"
709,Trom,2022– ,,45 min ," Crime, Drama, Thriller",6.7," Ulrich Thomsen, Maria Rich, Olaf Johannessen, Mariann Hansen"," 1,476"
710,V.I.P.,1998–2002,,60 min ," Action, Comedy, Crime",4.1," Pamela Anderson, Molly Culver, Shaun Baker, Natalie Raitano"," 4,654"
711,Judas,2019–2022,,60 min ," Biography, Crime, Drama",7.4," Rifka Lodeizen, Gijs Naber, Marit van Bohemen, Carry Tefsen", 780
712,Furia,2021– ,,,"Crime, Drama, Thriller",7.1," Ine Marie Wilmann, Nina Kunzendorf, Pål Sverre Hagen, Preben Hodneland"," 2,166"
713,City Homicide,2007–2011,TV-14 , 60 min ," Crime, Drama, Mystery",7.4," Shane Bourne, Nadine Garner, Aaron Pedersen, Damien Richardson"," 1,495"
714,Fear Factor,I) (2001–2012,TV-PG , 60 min ," Game-Show, Reality-TV, Thriller",5.6," Joe Rogan, Meghan Allen, Monica Gonzales, Meg Daleske"," 6,836"
715,Okkupert,2015–2020,TV-14 , 45 min ," Drama, Thriller",7.6," Henrik Mestad, Ane Dahl Torp, Eldar Skar, Ingeborga Dapkunaite"," 9,269"
716,DNA,I) (2019– ,,321 min ," Crime, Drama, Mystery",7.4," Anders W. Berthelsen, Zofia Wichlacz, Olivia Joof Lewerissa, Johanne Louise Schmidt"," 2,689"
717,Human Target,2010–2011,TV-14 , 60 min ," Action, Adventure, Crime",7.8," Mark Valley, Chi McBride, Jackie Earle Haley, Indira Varma"," 18,305"
718,Spawn,1997–1999,TV-MA , 30 min ," Animation, Action, Adventure",8.1," Keith David, Richard Dysart, Dominique Jennings, Todd McFarlane"," 9,043"
719,Carmen Sandiego,2019–2021,TV-Y7-FV , 22 min ," Animation, Action, Adventure",7.9," Finn Wolfhard, Gina Rodriguez, Liam O'Brien, Abby Trott"," 5,997"
720,Baki Hanma,2021– ,TV-MA , 25 min ," Animation, Action, Drama",6.7," Nobunaga Shimazaki, Troy Baker, James Mathis III, Bumper Robinson"," 1,999"
721,Mystery Science Theater 3000,2017–2022,TV-14 , 90 min ," Comedy, Drama, Horror",8.2," Felicia Day, Joel Hodgson, Patton Oswalt, Jonah Ray"," 3,767"
